Title,Address,State,Zipcode,PhoneNumber,Description
"Kristine Cunniff, DO","350 Kingstown Rd., Suite 101, Narragansett, RI 02882",RI,02882,(401) 782-0700,"A number of urgent care centers and primary care providers in Rhode Island have set up separate areas that serve as Respiratory Clinics, meaning they are specifically evaluating patients suspected of having COVID-19. While these Respiratory Clinics are located in specific areas just for those patients, urgent care centers are still open to see patients who need other services in their usual locations. You must call a Respiratory Clinic first. Unless someone is experiencing a medical emergency, no one should go directly to any healthcare facility."
Lincoln Urgent Care,"2 Wake Robin Rd., Lincoln, RI 02865",RI,02865,(401) 333-9595,"A number of urgent care centers and primary care providers in Rhode Island have set up separate areas that serve as Respiratory Clinics, meaning they are specifically evaluating patients suspected of having COVID-19. While these Respiratory Clinics are located in specific areas just for those patients, urgent care centers are still open to see patients who need other services in their usual locations. You must call a Respiratory Clinic first. Unless someone is experiencing a medical emergency, no one should go directly to any healthcare facility."
North Smithfield Urgent Care,"594 Great Rd., Suite 102A, North Smithfield, RI 02896",RI,02896,(401) 768-3400,"A number of urgent care centers and primary care providers in Rhode Island have set up separate areas that serve as Respiratory Clinics, meaning they are specifically evaluating patients suspected of having COVID-19. While these Respiratory Clinics are located in specific areas just for those patients, urgent care centers are still open to see patients who need other services in their usual locations. You must call a Respiratory Clinic first. Unless someone is experiencing a medical emergency, no one should go directly to any healthcare facility."
Ocean State Urgent Care - Cumberland,"2140 Mendon Rd., Cumberland, RI 02864",RI,02864,(401) 642-2072,"A number of urgent care centers and primary care providers in Rhode Island have set up separate areas that serve as Respiratory Clinics, meaning they are specifically evaluating patients suspected of having COVID-19. While these Respiratory Clinics are located in specific areas just for those patients, urgent care centers are still open to see patients who need other services in their usual locations. You must call a Respiratory Clinic first. Unless someone is experiencing a medical emergency, no one should go directly to any healthcare facility."
Ocean State Urgent Care - Middletown,"67 Valley Rd., Middletown, RI 02842",RI,02842,(401) 847-4950,"A number of urgent care centers and primary care providers in Rhode Island have set up separate areas that serve as Respiratory Clinics, meaning they are specifically evaluating patients suspected of having COVID-19. While these Respiratory Clinics are located in specific areas just for those patients, urgent care centers are still open to see patients who need other services in their usual locations. You must call a Respiratory Clinic first. Unless someone is experiencing a medical emergency, no one should go directly to any healthcare facility."
Ocean State Urgent Care - Providence,"1195 N Main St., Providence, RI 02904",RI,02904,(401) 861-3782,"A number of urgent care centers and primary care providers in Rhode Island have set up separate areas that serve as Respiratory Clinics, meaning they are specifically evaluating patients suspected of having COVID-19. While these Respiratory Clinics are located in specific areas just for those patients, urgent care centers are still open to see patients who need other services in their usual locations. You must call a Respiratory Clinic first. Unless someone is experiencing a medical emergency, no one should go directly to any healthcare facility."
Ocean State Urgent Care - Warwick,"1131 Warwick Ave., Warwick, RI 02888",RI,02888,(401) 287-4440,"A number of urgent care centers and primary care providers in Rhode Island have set up separate areas that serve as Respiratory Clinics, meaning they are specifically evaluating patients suspected of having COVID-19. While these Respiratory Clinics are located in specific areas just for those patients, urgent care centers are still open to see patients who need other services in their usual locations. You must call a Respiratory Clinic first. Unless someone is experiencing a medical emergency, no one should go directly to any healthcare facility."
Ocean State Urgent Care of Smithfield - Drive-through,"400 Putnam Pike, Smithfield, RI 02917",RI,02917,(401) 757-6160,"This clinic offers drive-through testing and is respiratory care capable. Call Ahead for testing availability and screening protocols. If you have traveled internationally and have symptoms such as a fever or shortness of breath, we ask you to stay home and call our offices first. Our offices will contact the RI Department of Health on your behalf."
Rhode Island College,"600 Mount Pleasant Ave, Rec Center Parking Lot B, Providence, RI 02908",RI,02908,http://www.ric.edu/news/Pages/RIC-Campus-Hosts-COVID-19-Testing.aspx,"Please contact your Primary Care Physician, Urgent Care, or Telemedicine provider for screening and a referral to be tested at this location. Testing is by appointment only and is available only to pre-screened patients who must show a form provided to them by their doctor or the Rhode Island Department of Health. Individuals will be tested while inside the vehicles and no one will be outside during this process. Testing will be by appointment only and will occur between the hours of 9 a.m.–3 p.m., seven days per week. Please do not try to show up to the testing site for any reason or contact RING (The Rhode Island National Guard) to schedule a test."
"Rhode Island Hospital, Andrew F. Anderson Emergency Center","80 Dudley Street, Providence, RI 02905",RI,02905,(401) 444-5411,"Please call your provider’s office before coming in for your appointment if you fit into any of the following categories: You have a fever and/or symptoms of acute respiratory illness such as cough, sore throat, difficulty breathing; You have had contact in the last 14 days with a person who tested positive for COVID-19, is currently being tested, or has been placed on home quarantine by the department of health. Patients with a high suspicion of COVID-19 exposure will be asked to remain at home while we coordinate care with the RI Department of Health (RIDOH)."
South County Health Express Care East Greenwich,"3461 S County Trl., East Greenwich, RI 02818",RI,02818,(401) 471-6740,"A number of urgent care centers and primary care providers in Rhode Island have set up separate areas that serve as Respiratory Clinics, meaning they are specifically evaluating patients suspected of having COVID-19. While these Respiratory Clinics are located in specific areas just for those patients, urgent care centers are still open to see patients who need other services in their usual locations. You must call a Respiratory Clinic first. Unless someone is experiencing a medical emergency, no one should go directly to any healthcare facility."
South County Health Express Care Westerly,"268 Post Rd. , Westerly, RI 02891",RI,02891,(401) 604-2500,"A number of urgent care centers and primary care providers in Rhode Island have set up separate areas that serve as Respiratory Clinics, meaning they are specifically evaluating patients suspected of having COVID-19. While these Respiratory Clinics are located in specific areas just for those patients, urgent care centers are still open to see patients who need other services in their usual locations. You must call a Respiratory Clinic first. Unless someone is experiencing a medical emergency, no one should go directly to any healthcare facility."
"The University of Rhode Island, Plains Road Parking Lot","210 Flagg Rd Parking, Plains Road Parking Lot, Kingston, RI 02881",RI,02881,(401) 874-2246,"COVID-19 testing, which is set to begin on Tuesday, March 31, 2020, will be by appointment only and is only available to pre-screened patients who must show a form provided to them by their physician or Rhode Island Department of Health. The testing site will be operational between the hours of 9 a.m.-3 p.m., seven days per week. You will need to have a referral from a doctor in order to be tested at this location. Please see your primary care doctor, urgent care or telemedicine physician to receive a referral before coming to the location. Testing is by appointment only and is available only to pre-screened patients who must show a form provided to them by their doctor or the Rhode Island Department of Health. Both CCRI and URI said that testing will be done by appointment only and only to “pre-screened patients” who must show a form provided to them by either their physician or the R.I. Department of Health. Individuals will be tested while inside the vehicles and no one will be outside during this process, both URI and CCRI said."
Thundermist Health Center of West Warwick,"186 Providence St., West Warnick, RI 02893",RI,02893,(401) 615-2800,"A number of urgent care centers and primary care providers in Rhode Island have set up separate areas that serve as Respiratory Clinics, meaning they are specifically evaluating patients suspected of having COVID-19. While these Respiratory Clinics are located in specific areas just for those patients, urgent care centers are still open to see patients who need other services in their usual locations. You must call a Respiratory Clinic first. Unless someone is experiencing a medical emergency, no one should go directly to any healthcare facility."
Thundermist Health Center of Woonsocket,"450 Clinton St., Woonsocket, RI 02895",RI,02895,(401) 676-4100,"A number of urgent care centers and primary care providers in Rhode Island have set up separate areas that serve as Respiratory Clinics, meaning they are specifically evaluating patients suspected of having COVID-19. While these Respiratory Clinics are located in specific areas just for those patients, urgent care centers are still open to see patients who need other services in their usual locations. You must call a Respiratory Clinic first. Unless someone is experiencing a medical emergency, no one should go directly to any healthcare facility."
Affinity Health Center,"455 Lakeshore Parkway, Rock Hill, SC 29730",SC,29730,(803) 909-6363,"For people with insurance, the test will be billed to their provider. For uninsured people, Affinity will not charge for the tests."
American Family Urgent Care,"3710 Clemson Blvd, Anderson, SC 29621",SC,29621,(864) 383-3870,"If you have or are starting to have a fever, cough, shortness of breath, muscle aches and/or fatigue AND you have traveled outside of your area of residence, please call our office from your car. Once you notify us from your car that you have arrived, our nurses will then call you back and assess the risk for Coronavirus. If we determine that the risk is low, we will meet you at the door, give you a mask and direct you to a room or inform you to check in as normal. If we determine that the risk of the virus is likely, we will direct you on how and where to go to have testing done while IN YOUR CAR. The results of these tests do take approximately five days to return. We may also test you for other common viruses, such as the flu, to allow us to more accurately diagnose your symptoms."
AnMed Health: North Campus,"2000 East Greenville Street, Anderson, SC 29621",SC,29621,(864) 512-3748,"Currently, testing can only be done with a doctor’s order. AnMed Health has drive-through testing at the entrance of AnMed Health Oglesby Center A. One can get a doctor's recommendation either from one's own primary care physician, or one may be screened by an online care provider for free. Please follow the instructions to do so on the MUSC health website: https://campaigns.muschealth.org/virtual-care/index.html. • This testing is only for at-risk, symptomatic patients who have a physician order. • Your testing appointment will be scheduled by your ordering physician."
Bamberg-Barnwell Emergency Medical Center,"1524 Barnwell Highway, Denmark, SC 29042",SC,29042,(803) 395-3352,"This is an emergency room. If patients are experiencing severe symptoms, they may arrive at this site and be screened by a physician will determine if the patient meets the requirements to be tested."
Beaufort Memorial Hospital,"990 Ribaut Road, Beaufort, SC 29902",SC,29902,(843) 522-5200,"By appointment only. Only patients who meet the following criteria may receive a physician order for COVID-19 testing: Fever, dry cough and shortness of breath, and Recent travel to a high-activity country, and/or Close contact with anyone diagnosed with or awaiting results for COVID-19. It is important to note that Beaufort Memorial does not have COVID-19 test kits and cannot process COVID-19 tests at the hospital. We may collect specimens and send them to the DHEC state lab."
Colonial Healthcare Columbia - Drive-Through Testing,"4700 Forest Drive, Suite 101, Columbia, SC 29206",SC,29206,(803) 773-5227,"We have a new sick bay set up where we will triage and treat patients with acute respiratory illnesses, often from their cars. This minimizes the chance of spreading infections. For each location, if you are ill with an acute respiratory illness, there are clear directions on our exterior doors directing you with a number to text or call so that we can ensure you receive efficient care. No appointment is necessary to be tested."
Colonial Healthcare Manning - Drive-Through Testing,"1013 Professional Ct, Manning, SC 29102",SC,29102,(803) 773-5227,"We have a new sick bay set up where we will triage and treat patients with acute respiratory illnesses, often from their cars. This minimizes the chance of spreading infections. For each location, if you are ill with an acute respiratory illness, there are clear directions on our exterior doors directing you with a number to text or call so that we can ensure you receive efficient care. No appointment is necessary to be tested."
Colonial Healthcare Sumter - Drive-Through Testing,"327 Broad Street, Sumter, SC 29150",SC,29150,(803) 773-5227,"We have a new sick bay set up where we will triage and treat patients with acute respiratory illnesses, often from their cars. This minimizes the chance of spreading infections. For each location, if you are ill with an acute respiratory illness, there are clear directions on our exterior doors directing you with a number to text or call so that we can ensure you receive efficient care. No appointment is necessary to be tested."
Greenville Convention Center,"1 Exposition Dr, Greenville, SC 29607",SC,29607,(864) 707-0062,"This drive-thru site is only for first care providers and healthcare workers. You must show your credentials upon arrival. At this point, you will be instructed to make a phone call to officials inside the convention center in order to be screened. If they determine that you do require a test, you will be instructed to continue through the drive-thru to be tested. This site was made possible by collaborating with DHEC, the SC Upstate Health Care Coalition, and volunteer organizations."
Market Pavilion - Fetter Healthcare Network,"402 E Main St, Moncks Corner, SC 29461",SC,29461,(800) 365-7410,"In order to receive a test, you must first be screened through Fetter Healthcare Network: https://fetterhealthcare.org. If you meet the testing criteria, you will be given a test code to take to the test site. There will be signs that will guide you towards the testing. You will not have to leave your vehicle, and the testing is free. If you do have health insurance, there is no co-pay."
McLeod Health Cheraw,"711 Chesterfield Hwy, Cheraw, SC 29520",SC,29520,(843) 777-2919,"All patients should first call their doctor or contact the McLeod COVID-19 screening hotline at (843) 777-2919 for more information. You may call the hotline 7 days a week from 8AM to 6PM. In order to receive a test at this site, you must be screened through this hotline. If you meet the testing criteria, an appointment will be scheduled for you to complete a drive-thru COVID-19 test. If you seek care through your primary care doctor first, he/she may schedule the appointment on your behalf if he/she determines that you meet the testing criteria. In addition, McLeod Health is offering free virtual screening for the Coronavirus through McLeod Telehealth (instructions to schedule an appointment are on their website)."
McLeod Health Clarendon,"10 East Hospital Street, Manning, SC 29102",SC,29102,(843) 777-2919,"All patients should first call their doctor or contact the McLeod COVID-19 screening hotline at (843) 777-2919 for more information. You may call the hotline 7 days a week from 8AM to 6PM. In order to receive a test at this site, you must be screened through this hotline. If you meet the testing criteria, an appointment will be scheduled for you to complete a drive-thru COVID-19 test. If you seek care through your primary care doctor first, he/she may schedule the appointment on your behalf if he/she determines that you meet the testing criteria. In addition, McLeod Health is offering free virtual screening for the Coronavirus through McLeod Telehealth (instructions to schedule an appointment are on their website)."
McLeod Loris,"3655 Mitchell St, Loris, SC 29565",SC,29565,(843) 777-2919,"All patients should first call their doctor or contact the McLeod COVID-19 screening hotline at (843) 777-2919 for more information. You may call the hotline 7 days a week from 8AM to 6PM. In order to receive a test at this site, you must be screened through this hotline. If you meet the testing criteria, an appointment will be scheduled for you to complete a drive-thru COVID-19 test. If you seek care through your primary care doctor first, he/she may schedule the appointment on your behalf if he/she determines that you meet the testing criteria. In addition, McLeod Health is offering free virtual screening for the Coronavirus through McLeod Telehealth (instructions to schedule an appointment are on their website)."
McLeod Medical Center Dillon,"301 E Jackson St, Dillon, SC 29536",SC,29536,(843) 777-2919,"All patients should first call their doctor or contact the McLeod COVID-19 screening hotline at (843) 777-2919 for more information. You may call the hotline 7 days a week from 8AM to 6PM. In order to receive a test at this site, you must be screened through this hotline. If you meet the testing criteria, an appointment will be scheduled for you to complete a drive-thru COVID-19 test. If you seek care through your primary care doctor first, he/she may schedule the appointment on your behalf if he/she determines that you meet the testing criteria. In addition, McLeod Health is offering free virtual screening for the Coronavirus through McLeod Telehealth (instructions to schedule an appointment are on their website)."
Mcleod Regional Medical Center Florence,"555 E Cheves St, Florence, SC 29506",SC,29506,(843) 777-2919,"All patients should first call their doctor or contact the McLeod COVID-19 screening hotline at (843) 777-2919 for more information. You may call the hotline 7 days a week from 8AM to 6PM. In order to receive a test at this site, you must be screened through this hotline. If you meet the testing criteria, an appointment will be scheduled for you to complete a drive-thru COVID-19 test. If you seek care through your primary care doctor first, he/she may schedule the appointment on your behalf if he/she determines that you meet the testing criteria. In addition, McLeod Health is offering free virtual screening for the Coronavirus through McLeod Telehealth (instructions to schedule an appointment are on their website)."
McLeod Seacoast,"4000 Highway 9 East, Little River, SC 29566",SC,29566,(843) 777-2919,"All patients should first call their doctor or contact the McLeod COVID-19 screening hotline at (843) 777-2919 for more information. You may call the hotline 7 days a week from 8AM to 6PM. In order to receive a test at this site, you must be screened through this hotline. If you meet the testing criteria, an appointment will be scheduled for you to complete a drive-thru COVID-19 test. If you seek care through your primary care doctor first, he/she may schedule the appointment on your behalf if he/she determines that you meet the testing criteria. In addition, McLeod Health is offering free virtual screening for the Coronavirus through McLeod Telehealth (instructions to schedule an appointment are on their website)."
MUSC Health Florence Medical Center,"805 Pamplico Highway, Florence, SC 29505",SC,29505,(843) 662-9945,"People who call into the MUSC telehealth system with possible symptoms are screened. If the person should be tested, testing is done at the drive-thru at the hospital."
MUSC Health Lancaster Medical Center,"800 West Meeting Street, Lancaster, SC 29720",SC,29720,(803) 286-1214,"Drive-thru testing is being done between 11 a.m. and 2 p.m. at Medical University of South Carolina Hospital Lancaster. The drive-thru testing is only available by appointment. People who call into the MUSC telehealth system with possible symptoms are screened. If the person should be tested, testing is done at the drive-thru at the hospital."
MUSC Health West Ashley Medical Pavilion - Citadel Mall,"2060 Sam Rittenberg Blvd, Charleston, SC 29407",SC,29407,(843) 985-5500,"MUSC Health is offering free virtual care consultations and screenings to anyone experiencing COVID-19-like symptoms with the promo code COVID19. Following a referral for testing, you will be contacted within 24 hours to schedule an appointment for specimen collection. NOTE: Individuals who report to the site for specimen collection, but do not have a testing order and scheduled appointment through the MUSC Health Virtual Urgent Care platform, will not be allowed to enter the secure site."
Piedmont Medical Center,"222 South Herlong Avenue, Rock Hill, SC 29732",SC,29732,(803) 329-1234,"The hospital has set up a tent outside the entrance of the emergency department used for screening, testing and triage. Testing is prioritized for patients who are older, have chronic medical conditions, such as diabetes, or have a suppressed immune system. The center is also prioritizing patients who had contact with someone suspected of or confirmed to have the virus and patients who traveled to affected areas. If a patient at Piedmont meets CDC testing criteria, the hospital will work with the state health department and if necessary, gather a sample and provide it to a CDC-appointed laboratory."
Prisma Health Greenville Memorial Medical Campus,"701 Grove Rd., Greenville, SC 29605",SC,29605,(864) 455-7000,"The site is not designed for general public. We are not able to provide testing to community members without a provider order at this site. Upon arrival at the drive-through location, patients will remain in their car as a sample is collected. The results from samples collected from this location will be sent to the provider or SC DHEC. Care providers will provide results to the patient. The Greenville site is on Prisma Health Greenville Memorial Medical Campus on the lower level of the South Parking Deck."
Prisma Health Richland Hospital North Portal,"5 Richland Medical Park Dr., Columbia, SC 29203",SC,29203,(803) 434-7000,"In Columbia, testing also is available to patients sent from the SC Department of Health and Environmental Control (SC DHEC). Patients must have a provider order for the COVID-19 test and official personal identification. We are not able to provide testing to community members without a provider order at this site. Upon arrival at the drive-through location, patients will remain in their car as a sample is collected. The results from samples collected from this location will be sent to the provider or SC DHEC. Care providers will provide results to the patient. The Columbia site is outside Prisma Health Richland Hospital near the Emergency Department."
Prisma Health Tuomey Hospital,"129 N. Washington St., Sumter, SC 29150",SC,29150,(803) 774-9000,"The site is not designed for general public. We are not able to provide testing to community members without a provider order at this site. Upon arrival at the drive-through location, patients will remain in their car as a sample is collected. The results from samples collected from this location will be sent to the provider or SC DHEC. Care providers will provide results to the patient. The Sumter site is at Prisma Health Tuomey Hospital’s Calhoun St./Day Surgery entrance."
Sandhills Medical Foundation COVID-19 Testing Site,"2611 Liberty Hill Road, Camden, SC 29020",SC,29020,(877) 529-4339,"Call 1- 877-529-4339 to register, for appropriate screening, and instructions & directions. Depending on screening, you will be scheduled an appointment. Phone lines are open Monday - Friday, 8:00 AM - 5:00 PM. You will drive to the back parking lot for additional screening, and test for COVID-19. Testing is available during the following time periods: 3/23, 3/25, 3/27, 3/30, 4/1, 4/3, 4/6, 4/8, 4/10, 4/13, 4/15, 4/17: 8:00am – 5:00pm."
Self Regional Healthcare,"1325 Spring Street, Greenwood, SC 29646",SC,29646,(864) 725-4200,"COVID-19 screening line and specimen collection site are only for residents of our 7-county service area in South Carolina: Greenwood, Laurens, Newberry, Saluda, Edgefield, McCormick and Abbeville counties. The screening phone line wiill be available 9am-5pm, Monday-Friday. On the call you will be asked a series of questions to see if you meet the DHEC criteria for testing. If you meet the criteria, you will be scheduled at our drive-through COVID-19 specimen collection site where a swab will be collected. Patients who are directed to this drive-through site will stay in their cars while a nurse who is wearing protective gear collects the sample from outside the vehicle."
Spartanburg Regional - Cherokee Medical Center,"1530 N Limestone Street, Gaffney, SC 29340",SC,29340,(864) 560-6000,"If you have a test order from your provider or from an SRHS e-visit, Spartanburg Regional is now offering drive-thru COVID-19 testing. You may also schedule a free virtual screening through MUSC Health. Patients must have a provider order for the COVID-19 test and official personal identification (SRHS badge will be required for employees)in order to be eligible for a test. There will be signage to help direct patients.The site is not designed for general public. We are not able to provide testing to community members without a provider order at this site. Upon arrival at the drive-thru location, patients will remain in their car as a sample is collected. The results from samples collected from this location will be sent to the provider or S.C. DHEC. The provider who ordered your test will provide you with your test results."
Spartanburg Regional - Union Medical Center,"322 W South Street, Union, SC 29379",SC,29379,(864) 560-6000,"If you have a test order from your provider or from an SRHS e-visit, Spartanburg Regional is now offering drive-thru COVID-19 testing. You may also schedule a free virtual screening through MUSC Health. Patients must have a provider order for the COVID-19 test and official personal identification (SRHS badge will be required for employees)in order to be eligible for a test. There will be signage to help direct patients.The site is not designed for general public. We are not able to provide testing to community members without a provider order at this site. Upon arrival at the drive-thru location, patients will remain in their car as a sample is collected. The results from samples collected from this location will be sent to the provider or S.C. DHEC. The provider who ordered your test will provide you with your test results."
Spartanburg Regional - USC-Upstate Campus,"305 North Campus Blvd, Spartanburg, SC 29303",SC,29303,(864) 560-6000,"If you have a test order from your provider or from an SRHS e-visit, Spartanburg Regional is now offering drive-thru COVID-19 testing. You may also schedule a free virtual screening through MUSC Health. Patients must have a provider order for the COVID-19 test and official personal identification (SRHS badge will be required for employees)in order to be eligible for a test. There will be signage to help direct patients.The site is not designed for general public. We are not able to provide testing to community members without a provider order at this site. Upon arrival at the drive-thru location, patients will remain in their car as a sample is collected. The results from samples collected from this location will be sent to the provider or S.C. DHEC. The provider who ordered your test will provide you with your test results."
Avera De Smet Memorial Hospital,"306 Prairie Avenue SW, De Smet, SD 57231",SD,57231,(605) 854-6100,"If you are having symptoms of COVID-19 call 1-877-At-Avera (1-877-282-8372), or call your clinic. Avera has set-up processes for testing that will limit exposure. We follow CDC guidelines for COVID-19 testing. Individuals without symptoms, or symptomatic individuals who are not part of a high priority group will not be tested."
Avera Dells Area Hospital,"909 N. Iowa Avenue, Dell Rapids, SD 57022",SD,57022,(877) 282-8372,"If you are having symptoms of COVID-19 call 1-877-At-Avera (1-877-282-8372), or call your clinic. Avera has set-up processes for testing that will limit exposure. We follow CDC guidelines for COVID-19 testing. Individuals without symptoms, or symptomatic individuals who are not part of a high priority group will not be tested."
Avera Flandreau Hospital,"214 N. Prairie Street, Flandreau, SD 57028",SD,57028,(877) 282-8372,"If you are having symptoms of COVID-19 call 1-877-At-Avera (1-877-282-8372), or call your clinic. Avera has set-up processes for testing that will limit exposure. We follow CDC guidelines for COVID-19 testing. Individuals without symptoms, or symptomatic individuals who are not part of a high priority group will not be tested."
Avera Gettysburg Clinic,"606 E Garfield, Gettysburg, SD 57442",SD,57442,(877) 282-8372,"If you are having symptoms of COVID-19 call 1-877-At-Avera (1-877-282-8372), or call your clinic. Avera has set-up processes for testing that will limit exposure. We follow CDC guidelines for COVID-19 testing. Individuals without symptoms, or symptomatic individuals who are not part of a high priority group will not be tested."
Avera Gregory Hospital,"400 Park Avenue, Gregory, SD 57533",SD,57533,(877) 282-8372,"If you are having symptoms of COVID-19 call 1-877-At-Avera (1-877-282-8372), or call your clinic. Avera has set-up processes for testing that will limit exposure. We follow CDC guidelines for COVID-19 testing. Individuals without symptoms, or symptomatic individuals who are not part of a high priority group will not be tested."
Avera Hospital Sioux Falls,"2100 S Marion Rd, Sioux Falls, SD 57106",SD,57106,(877) 282-8372,"If you are having symptoms of COVID-19 call 1-877-At-Avera (1-877-282-8372), or call your clinic. Avera has set-up processes for testing that will limit exposure. We follow CDC guidelines for COVID-19 testing. Individuals without symptoms, or symptomatic individuals who are not part of a high priority group will not be tested."
Avera Queen of Peace Hospital,"525 N Foster St, Mitchell, SD 57301",SD,57301,(877) 282-8372,"If you are having symptoms of COVID-19 call 1-877-At-Avera (1-877-282-8372), or call your clinic. Avera has set-up processes for testing that will limit exposure. We follow CDC guidelines for COVID-19 testing. Individuals without symptoms, or symptomatic individuals who are not part of a high priority group will not be tested."
Avera Sacred Heart Hospital,"501 Summit, Yankton, SD 57078",SD,57078,(877) 282-8372,"If you are having symptoms of COVID-19 call 1-877-At-Avera (1-877-282-8372), or call your clinic. Avera has set-up processes for testing that will limit exposure. We follow CDC guidelines for COVID-19 testing. Individuals without symptoms, or symptomatic individuals who are not part of a high priority group will not be tested."
Avera St. Luke's Hospital,"305 South State Street, Aberdeen, SD 57401",SD,57401,(877) 282-8372,"If you are having symptoms of COVID-19 call 1-877-At-Avera (1-877-282-8372), or call your clinic. Avera has set-up processes for testing that will limit exposure. We follow CDC guidelines for COVID-19 testing. Individuals without symptoms, or symptomatic individuals who are not part of a high priority group will not be tested."
Avera St. Mary's Hospital,"801 E Sioux, Pierre, SD 57501",SD,57501,(877) 282-8372,"If you are having symptoms of COVID-19 call 1-877-At-Avera (1-877-282-8372), or call your clinic. Avera has set-up processes for testing that will limit exposure. We follow CDC guidelines for COVID-19 testing. Individuals without symptoms, or symptomatic individuals who are not part of a high priority group will not be tested."
Avera Surgical Hospital,"2601 Foxrun Parkway, Yankton, SD 57078",SD,57078,(605) 665-6100,N/A
Avera Weskota Memorial Hospital,"604 1st St NE, Wessington Springs, SD 57382",SD,57382,(877) 282-8372,"If you are having symptoms of COVID-19 call 1-877-At-Avera (1-877-282-8372), or call your clinic. Avera has set-up processes for testing that will limit exposure. We follow CDC guidelines for COVID-19 testing. Individuals without symptoms, or symptomatic individuals who are not part of a high priority group will not be tested."
Bennett County Health Center,"102 Major Allen Street, Martin, SD 57551",SD,57551,(605) 685-6622,N/A
Community Memorial Hospital Avera,"111 W 10th Ave, Redfield, SD 57469",SD,57469,(877) 282-8372,"If you are having symptoms of COVID-19 call 1-877-At-Avera (1-877-282-8372), or call your clinic. Avera has set-up processes for testing that will limit exposure. We follow CDC guidelines for COVID-19 testing. Individuals without symptoms, or symptomatic individuals who are not part of a high priority group will not be tested."
Creekside Medical Clinic,"2822 Jackson Blvd, Suite 101, Rapid City, SD 57702",SD,57702,(605) 341-1208,"Please call our clinic at 605-341-1208 to schedule a Tele Health or regular appointment. If you have any infectious symptoms, like cough, fever or shortness of breath, please call us and we will assist you to make the best decision regarding the care and testing you need."
Madison Regional Health System,"323 10th St SW, Madison, SD 57042",SD,57042,(605) 256-6551,"Please call ahead if you are experiencing symptoms of COVID-19. MRHS has been working closely with the SD Department of Health and following CDC guidelines in the prevention of the spread of the Coronavirus. The number one thing local community members can currently do regarding the COVID-19 is remain calm and utilize preventative measures. This is an emerging, rapidly evolving situation. The risk may change daily. MRHS is partnering with health officials to monitor and evaluate this situation."
Monument Health - Customer Hospital and Clinic,"1220 Montgomery St, Custer, SD 57730",SD,57730,(800) 279-1466,"For any patient who wants to get scheduled, they must first call the Nurse Triage Line at 800-279-1466 to set up an appointment. During the appointment, a caregiver in protective gear will collect a test sample."
Monument Health - Lead-Deadwood Hospital and Clinic,"71 Charles Street, Deadwood, SD 57732",SD,57732,(800) 279-1466,"For any patient who wants to get scheduled, they must first call the Nurse Triage Line at 800-279-1466 to set up an appointment. During the appointment, a caregiver in protective gear will collect a test sample."
Monument Health - Rapid City Urgent Care,"2116 Jackson Boulevard, Rapid City, SD 57702",SD,57702,(800) 279-1466,"Effective Thursday, March 19, 2020, Monument Health Rapid City Urgent Care Clinic at 2116 Jackson Boulevard is now serving as a COVID-19 Assessment Center, in an effort to treat all patients with respiratory problems and possible COVID-19 symptoms in one location. Walk-ins are welcome, though individuals are encouraged to call the Nurse Triage Line at 800-279-1466."
Monument Health - Spearfish Clinic,"1420 N 10th St, Spearfish, SD 57783",SD,57783,(800) 279-1466,"For any patient who wants to get scheduled, they must first call the Nurse Triage Line at 800-279-1466 to set up an appointment. During the appointment, a caregiver in protective gear will collect a test sample."
Monument Health - Sturgis Hospital and Clinic,"2140 Junction Avenue, Sturgis, SD 57785",SD,57785,(800) 279-1466,"For any patient who wants to get scheduled, they must first call the Nurse Triage Line at 800-279-1466 to set up an appointment. During the appointment, a caregiver in protective gear will collect a test sample."
Royal C Johnson Veterans Memorial Hospital,"2501 W. 22nd Street, Sioux Falls, SD 57105",SD,57105,"(605) 336-3230, ext. 50","If you have symptoms of fever, cough, and shortness of breath, call us at 605-336-3230 EXT. 5001 before visiting us. For other concerns, you may be able to access VA care from home by phone or using VA virtual care options."
Sanford Chamberlain Clinic,"300 S Byron Blvd, Chamberlain, SD 57325",SD,57325,(605) 234-6551,"Sanford Health has launched a test for the COVID-19 virus using an FDA-approved method under Emergency Use Authorization. Tests will be available at Sanford clinics and medical centers, and processed at the Sanford laboratory in Sioux Falls. Patients will receive results in 24-48 hours. To be tested, patients must meet high-risk criteria and have a physician order."
Sanford Health Acute Care Clinic,"922 22nd Ave S, Brookings, SD 57006",SD,57006,(605) 697-1900,"Sanford Health has launched a test for the COVID-19 virus using an FDA-approved method under Emergency Use Authorization. Tests will be available at Sanford clinics and medical centers, and processed at the Sanford laboratory in Sioux Falls. Patients will receive results in 24-48 hours. To be tested, patients must meet high-risk criteria and have a physician order."
Sanford Health Hartford Clinic,"905 N Oaks Ave, Hartford, SD 57033",SD,57033,(605) 312-5600,"Sanford Health has launched a test for the COVID-19 virus using an FDA-approved method under Emergency Use Authorization. Tests will be available at Sanford clinics and medical centers, and processed at the Sanford laboratory in Sioux Falls. Patients will receive results in 24-48 hours. To be tested, patients must meet high-risk criteria and have a physician order."
